Length,Width,Petal.Length,Petal.Width,Species
5.1,100,1.4,0.2,setosa
4.9,101,1.4,0.2,setosa
4.7,102,1.3,0.2,setosa
4.6,103,1.5,0.2,setosa
5,104,1.4,0.2,setosa
5.4,105,1.7,0.4,setosa
4.6,106,1.4,0.3,setosa
5,107,,0.2,setosa
,108,1.4,0.2,setosa
4.9,109,1.5,0.1,setosa
5.4,110,1.5,0.2,setosa
4.8,111,1.6,0.2,setosa
4.8,112,1.4,0.1,setosa
4.3,113,1.1,0.1,setosa
5.8,114,1.2,0.2,setosa
5.7,115,1.5,0.4,setosa
5.4,116,1.3,0.4,setosa
5.1,117,1.4,0.3,setosa
5.7,118,1.7,0.3,setosa
5.1,119,1.5,0.3,setosa
5.4,120,1.7,0.2,setosa
5.1,121,1.5,0.4,setosa
4.6,122,1,0.2,setosa
5.1,123,1.7,0.5,setosa
4.8,124,1.9,0.2,setosa
5,125,,,setosa
5,126,1.6,0.4,setosa
5.2,127,1.5,0.2,setosa
5.2,128,1.4,0.2,setosa
4.7,129,1.6,0.2,setosa
4.8,130,1.6,0.2,setosa
5.4,,1.5,0.4,setosa
5.2,132,1.5,0.1,setosa
5.5,133,1.4,0.2,setosa
4.9,134,1.5,0.2,setosa
5,135,1.2,0.2,setosa
5.5,136,1.3,0.2,setosa
4.9,137,1.4,0.1,setosa
4.4,138,1.3,0.2,setosa
5.1,139,1.5,0.2,setosa
5,140,1.3,0.3,setosa
4.5,141,1.3,0.3,setosa
4.4,142,1.3,0.2,setosa
5,143,1.6,0.6,setosa
5.1,144,1.9,0.4,setosa
4.8,145,1.4,0.3,setosa
5.1,146,1.6,0.2,setosa
4.6,147,1.4,0.2,setosa
5.3,148,1.5,0.2,setosa
5,149,1.4,0.2,setosa
7,150,4.7,1.4,versicolor
6.4,151,4.5,1.5,versicolor
6.9,152,4.9,1.5,versicolor
5.5,153,4,1.3,versicolor
6.5,154,4.6,1.5,versicolor
5.7,155,4.5,1.3,versicolor
6.3,156,4.7,1.6,versicolor
4.9,157,3.3,1,versicolor
6.6,158,4.6,1.3,versicolor
5.2,159,3.9,1.4,versicolor
5,160,3.5,1,versicolor
5.9,161,4.2,1.5,versicolor
6,162,4,1,versicolor
6.1,163,4.7,1.4,versicolor
5.6,164,3.6,1.3,versicolor
6.7,165,4.4,1.4,versicolor
5.6,166,4.5,1.5,versicolor
5.8,167,4.1,1,versicolor
6.2,168,4.5,1.5,versicolor
5.6,169,3.9,1.1,versicolor
5.9,170,4.8,1.8,versicolor
6.1,171,4,1.3,versicolor
6.3,172,4.9,1.5,versicolor
6.1,173,4.7,1.2,versicolor
6.4,174,4.3,1.3,versicolor
6.6,175,4.4,1.4,versicolor
6.8,176,4.8,1.4,versicolor
6.7,177,5,1.7,versicolor
6,178,4.5,1.5,versicolor
5.7,179,3.5,1,versicolor
5.5,180,3.8,1.1,versicolor
5.5,181,3.7,1,versicolor
5.8,182,3.9,1.2,versicolor
6,183,5.1,1.6,versicolor
5.4,184,4.5,1.5,versicolor
6,185,4.5,1.6,versicolor
6.7,186,4.7,1.5,versicolor
6.3,187,4.4,1.3,versicolor
5.6,188,4.1,1.3,versicolor
5.5,189,4,1.3,versicolor
5.5,190,4.4,1.2,versicolor
6.1,191,4.6,1.4,versicolor
5.8,192,4,1.2,versicolor
5,193,3.3,1,versicolor
5.6,194,4.2,1.3,versicolor
5.7,195,4.2,1.2,versicolor
5.7,196,4.2,1.3,versicolor
6.2,197,4.3,1.3,versicolor
5.1,198,3,1.1,versicolor
5.7,199,4.1,1.3,versicolor
6.3,200,6,2.5,virginica
5.8,201,5.1,1.9,virginica
7.1,202,5.9,2.1,virginica
6.3,203,5.6,1.8,virginica
6.5,204,5.8,2.2,virginica
7.6,205,6.6,2.1,virginica
4.9,206,4.5,1.7,virginica
7.3,207,6.3,1.8,virginica
6.7,208,5.8,1.8,virginica
7.2,209,6.1,2.5,virginica
6.5,210,5.1,2,virginica
6.4,211,5.3,1.9,virginica
6.8,212,5.5,2.1,virginica
5.7,213,5,2,virginica
5.8,214,5.1,2.4,virginica
6.4,215,5.3,2.3,virginica
6.5,216,5.5,1.8,virginica
7.7,217,6.7,2.2,virginica
7.7,218,6.9,2.3,virginica
6,219,5,1.5,virginica
6.9,220,5.7,2.3,virginica
5.6,221,4.9,2,virginica
7.7,222,6.7,2,virginica
6.3,223,4.9,1.8,virginica
6.7,224,5.7,2.1,virginica
7.2,225,6,1.8,virginica
6.2,226,4.8,1.8,virginica
6.1,227,4.9,1.8,virginica
6.4,228,5.6,2.1,virginica
7.2,229,5.8,1.6,virginica
7.4,230,6.1,1.9,virginica
7.9,231,6.4,2,virginica
6.4,232,5.6,2.2,virginica
6.3,233,5.1,1.5,virginica
6.1,234,5.6,1.4,virginica
7.7,235,6.1,2.3,virginica
6.3,236,5.6,2.4,virginica
6.4,237,5.5,1.8,virginica
6,238,4.8,1.8,virginica
6.9,239,5.4,2.1,virginica
6.7,240,5.6,2.4,virginica
6.9,241,5.1,2.3,virginica
5.8,242,5.1,1.9,virginica
6.8,243,5.9,2.3,virginica
6.7,244,5.7,2.5,virginica
6.7,245,5.2,2.3,virginica
6.3,246,5,1.9,virginica
6.5,247,5.2,2,virginica
6.2,248,5.4,2.3,virginica
5.9,249,5.1,1.8,virginica
